fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	num_leaves	feature_fraction	bagging_fraction	bagging_freq	min_data_in_leaf	min_gain_to_split	lambda_l1	lambda_l2	envios	ganancia	iteracion
20241012 111923	binary	custom	TRUE	TRUE	FALSE	-100	31	173	TRUE	414643	0.0638074315052363	281	0.60417267578654	0.58493964803929	4	5580	5.52975375420647	2.60866523085861	5.93734633905115	5628	122185000	1
20241012 112016	binary	custom	TRUE	TRUE	FALSE	-100	31	279	TRUE	414643	0.0417132100173039	246	0.455418542530388	0.680188786174403	4	4554	5.49807630042778	6.98603779129917	6.07028667232953	9999	131075000	2
20241012 112107	binary	custom	TRUE	TRUE	FALSE	-100	31	211	TRUE	414643	0.0753263126780512	262	0.39551787363831	0.810708571062423	5	661	1.26404807332437	0.269437889335677	8.46915713092312	12915	145355000	3
20241012 114643	binary	custom	TRUE	TRUE	FALSE	-100	31	632	TRUE	414643	0.0229337112830761	263	0.341559046718837	0.640146785730205	1	430	0.017156456372553	0.430339790459758	8.62151475380928	11881	145600000	41
20241012 115014	binary	custom	TRUE	TRUE	FALSE	-100	31	178	TRUE	414643	0.0440420266280657	360	0.464618274104919	0.887643039098827	4	1500	0.122953329476875	0.00530283123261376	1.0062834071684	12386	145985000	44
20241012 115202	binary	custom	TRUE	TRUE	FALSE	-100	31	395	TRUE	414643	0.0438928390628699	238	0.457671269463413	0.8757123892307	5	183	0.625006989996339	0.0248182998948615	5.63436985332214	11590	146510000	45
20241012 115657	binary	custom	TRUE	TRUE	FALSE	-100	31	882	TRUE	414643	0.0153615456137747	381	0.532354074378354	0.913070483606928	2	979	0.747352597236457	0.256228727343549	4.49796018497413	12199	147315000	46
20241012 120312	binary	custom	TRUE	TRUE	FALSE	-100	31	526	TRUE	414643	0.0108998381144876	195	0.661117098463128	0.823895995214726	3	623	0.467718010330087	0.04443459611535	2.77887898638172	12229	147385000	49
20241012 121147	binary	custom	TRUE	TRUE	FALSE	-100	31	1076	TRUE	414643	0.0106539854739585	262	0.531081256099752	0.895736789251188	4	1285	0.453568622651727	0.00138884953785177	3.15710886191363	12131	147770000	51
20241012 123021	binary	custom	TRUE	TRUE	FALSE	-100	31	1054	TRUE	414643	0.0107210994213365	403	0.544048595319764	0.818606280960555	2	2327	0.168645786501994	0.265411621036027	3.40066417143003	11127	148365000	58
20241012 123540	binary	custom	TRUE	TRUE	FALSE	-100	31	1112	TRUE	414643	0.0100726889819825	360	0.290424266334358	0.843786801828679	2	831	0.366691590532513	0.397580302738052	1.25749744820965	10836	148435000	59
20241012 125139	binary	custom	TRUE	TRUE	FALSE	-100	31	718	TRUE	414643	0.0123510837025977	484	0.554620691473683	0.889278362030744	3	1071	0.493151375224254	0.247945442908766	1.04210419248537	10759	148995000	68
20241012 130704	binary	custom	TRUE	TRUE	FALSE	-100	31	772	TRUE	414643	0.0113918547885171	249	0.587866859075594	0.996079561136773	4	2684	0.0363338951740403	0.516556432130378	0.0254195652170492	10305	149625000	73
